id,first_name,last_name,movie,category,image,blurb,storylinks,votes
1,,,"""Better Call Saul""",1,better_call_saul.jpg,,,
2,,,"""Downton Abbey""",1,downton_abbey.jpg,,,
3,,,"""Game of Thrones""",1,game_of_thrones.jpg,,,
4,,,"""Homeland""",1,homeland.jpg,,,
5,,,"""House of Cards""",1,house_of_cards.jpg,,,
6,,,"""Mad Men""",1,mad_men.jpg,,,
7,,,"""Orange Is the New Black""",1,orange_is_the_new_black.jpg,,,
8,,,"""Louie""",2,louie.jpg,,,
9,,,"""Modern Family""",2,modern_family.jpg,,,
10,,,"""Parks and Recreation""",2,parks_and_recreation.jpg,,,
11,,,"""Silicon Valley""",2,silicon_valley.jpg,,,
12,,,"""Transparent""",2,transparent.jpg,,,
13,,,"""Unbreakable Kimmy Schmidt""",2,unbreakable_kimmy_schmidt.jpg,,,
14,,,"""VEEP""",2,veep.jpg,,,
15,Bob,Odenkirk,"""Better Call Saul""",3,bob_odenkirk.jpg,,,
16,Kevin,Spacey,"""House of Cards""",3,kevin_spacey.jpg,,,
17,Liev,Schreiber,"""Ray Donovan""",3,liev_schreiber.jpg,,,
18,Kyle,Chandler,"""Bloodline""",3,kyle_chandler.jpg,,,
19,Jon,Hamm,"""Mad Men""",3,jon_hamm.jpg,,,
20,Jeff,Daniels,"""The Newsroom""",3,jeff_daniels.jpg,,,
21,Taraji P.,Henson,"""Empire""",4,taraji_p_henson.jpg,,,
22,Robin ,Wright,"""House of Cards""",4,robin_wright.jpg,,,
23,Elisabeth,Moss,"""Mad Men""",4,elisabeth_moss.jpg,,,
24,Claire,Danes,"""Homeland""",4,claire_danes.jpg,,,
25,Viola ,Davis,"""How to Get Away with Murder""",4,viola_davis.jpg,,,
26,Tatiana,Maslany,"""Orphan Black""",4,tatiana_maslany.jpg,,,
27,Anthony,Anderson,"""black-ish""",5,anthony_anderson.jpg,,,
28,Don,Cheadle,"""House of Lies""",5,don_cheadle.jpg,,,
29,William H.,Macy,"""Shameless""",5,william_h_macy.jpg,,,
30,Matt,LeBlanc,"""Episodes""",5,matt_leblanc.jpg,,,
31,Louis,C.K.,"""Louie""",5,louis_ck.jpg,,,
32,Will,Forte,"""The Last Man on Earth""",5,will_forte.jpg,,,
33,Lily,Tomlin,"""Grace and Frankie""",6,lily_tomlin.jpg,,,
34,Edie,Falco,"""Nurse Jackie""",6,edie_falco.jpg,,,
35,Lisa ,Kudrow,"""The Comeback""",6,lisa_kudrow.jpg,,,
36,Amy,Schumer,"""Inside Amy Schumer""",6,amy_schumer.jpg,,,
37,Amy,Poehler,"""Parks and Recreation""",6,amy_poehler.jpg,,,
38,Julia,Louis-Dreyfus,"""VEEP""",6,julia_louis_dreyfus.jpg,,,
39,,,"""American Crime""",7,american_crime.jpg,,,
40,,,"""American Horror Story: Freak Show""",7,american_horror_story.jpg,,,
41,,,"""The Honorable Woman""",7,the_honorable_woman.jpg,,,
42,,,"""Olive Kitteridge""",7,olive_kitteridge.jpg,,,
43,,,"""Wolf Hall""",7,wolf_hall.jpg,,,
44,Timothy,Hutton,"""American Crime""",8,*,,,
45,Ricky,Gervais,"""Derek Special""",8,*,,,
46,Adrien,Brody,"""Houdini""",8,adrien_brody.jpg,,,
47,David,Oyelowo,"""Nightingale""",8,david_oyelowo.jpg,,,
48,Richard,Jenkins,"""Olive Kitteridge""",8,richard_jenkins.jpg,,,
49,Mark,Rylance,"""Wolf Hall""",8,*,,,
50,Felicity,Huffman,"""American Crime""",9,felicity_huffman.jpg,,,
51,Jessica,Lange,"""American Horror Story""",9,jessica_lange.jpg,,,
52,Queen ,Latifah,"""Bessie""",9,queen_latifah.jpg,,,
53,Maggie,Gyllenhaal,"""The Honorable Woman""",9,maggie_gyllenhaal.jpg,,,
54,Frances,McDormand,"""Olive Kitteridge""",9,frances_mcdormand.jpg,,,
55,Emma,Thompson,"""Sweeney Todd: The Demon Barber Of Fleet Street""",9,*,,,
56,,,"""The Colbert Report""",10,colbert_report.jpg,,,
57,,,"""The Daily Show with Jon Stewart""",10,daily_show.jpg,,,
58,,,"""Inside Amy Schumer""",10,amy_schumer.jpg,,,
59,,,"""Key & Peele""",10,key_peele.jpg,,,
60,,,"""Last Week Tonight with John Oliver""",10,john_oliver.jpg,,,
